,title,links,song_lyric
10,Heavenly,https://www.lyrics.com/lyric/36490414/Cigarettes+After+Sex/Heavenly,"Wanting your love to come into me
Feeling it slow, over this dream
Touch me with a kiss
Touch me with a kiss

Now you're above feeling it still
Tell me it's love, tell me it's real
Touch me with a kiss
Feel me on your lips

'Cause this is where I wanna be
Where it's so sweet and heavenly

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love
All my love

Needing you now to come into me
Feeling it slow, over this dream
Touch me with a kiss
Feel me on your lips

When you're above feeling it still
Tell me it's love, tell me it's real
Touch me with a kiss
Touch me with a kiss

'Cause this is where I wanna be
Where it's so sweet and heavenly

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love
All my love

And when you're far away
I still feel it all
And when you're far away
I still feel it all the same

And when you're far away
Far away

I'm giving you all my
Giving you all my
Giving you all my love
Giving you all my
Giving you all my
Giving you all my love"
11,Crush,https://www.lyrics.com/lyric/35132373/Cigarettes+After+Sex/Crush,"I wanna line my walls with photographs you sent
Of you lying in your swimsuit on the bed
Can’t live without your love inside me now
I’ll find a way to slip into your skin somehow

I wanna f*ck your love slow
Catch my heart, go swim
Feel your lips crush
Hold you here my loveliest friend

I love to watch you when you’re trying on your clothes 
And now you’re all I think about when I’m alone
Can’t wait to feel your love inside me now
We’ll have a drink or two and we’ll go to your house

I wanna f*ck your love slow
Catch my heart, go swim
Feel your lips crush
Hold you here my loveliest friend

I wanna f*ck your love slow
Catch my heart, go swim
Feel your lips crush
Hold you here my loveliest friend
Catch my heart, go swim
Feel your lips crush
Hold you here my loveliest friend"
12,Neon Moon,https://www.lyrics.com/lyric/35792839/Cigarettes+After+Sex/Neon+Moon,"When the sun goes down
On my side of town
That lonesome feeling
Comes to my door
The whole world, turns blue

There's a rundown bar
'Cross the railroad tracks
I've got a table for two
Way in the back
Where I sit alone
And think of you

I spend most every night
Beneath the light
Of a neon moon

If you lose your one and only
There's always room here for the lonely
To watch your broken dreams
Dance in and out of the beams
Of a neon moon

I think of two young lovers
Running wild and free
Close my eyes
Sometimes see
You in the shadows
Of this smoke-filled room

No telling how many tears
I've sat here and cried
Or how many lies
That I've lied
Telling my poor heart
You'll come back one day

I spend most every night
Beneath the light
Of a neon moon

If you lose your one and only
There's always room here for the lonely
To watch your broken dreams
Dance in and out of the beams
Of a neon moon

But I'll be alright
As long as there's light
From a neon moon
And I'll be alright
As long as there's light
From a neon moon"
13,Apocalypse,https://www.lyrics.com/lyric/33830218/Cigarettes+After+Sex/Apocalypse,"You leapt from crumbling bridges watching cityscapes turn to dust
Filming helicopters crashing in the ocean from way above

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Kisses on the foreheads of the lovers wrapped in your arms
You've been hiding them in hollowed out pianos left in the dark

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Your lips, my lips, apocalypse
Your lips, my lips, apocalypse
Go and sneak us through the rivers flood is rising up on your knees, oh please
Come out and haunt me, I know you want me
Come out and haunt me

Sharing all your secrets with each other since you were kids
Sleeping soundly with the locket that she gave you clutched in your fist

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye
You've been locked in here forever and you just can't say goodbye

Oh, when you're all alone, I will reach for you
When you're feeling low, I will be there, too"
14,K.,https://www.lyrics.com/lyric/33941157/Cigarettes+After+Sex/K.,"I remember when I first noticed that you liked me back
We were sitting down in a restaurant waiting for the check
We had made love earlier that day with no strings attached
But I could tell that something had changed how you looked at me then

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And on the Lower East Side you're dancing with me now
And I'm taking pictures of you with flowers on the wall
Think I like you best when you're dressed in black from head to toe
Think I like you best when you're just with me
And no one else

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And I'm kissing you lying in my room
Holding you until you fall asleep
And it's just as good as I knew it would be
Stay with me I don't want you to leave

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle"
15,Each Time You Fall in Love,https://www.lyrics.com/lyric/33941158/Cigarettes+After+Sex/Each+Time+You+Fall+in+Love,"Each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe
And each time you kiss a girl
You never know what it’s worth
You say all of the words they wanna hear
It isn’t real

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in

Each time you have a dream
You never know what it means
You see that open road and never know which way to go
And each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in"
16,Sunsetz,https://www.lyrics.com/lyric/33941159/Cigarettes+After+Sex/Sunsetz,"Sunsets
We wander through a foreign town
Strangely, there's nobody else around
So you open your dress and show me your tits
On the swing set at the old playground

And when you go away, I still see you
The sunlight on your face in my rear-view

Sunsets
I wanna hear your voice
A love that nobody could destroy
Took photographs like Brautigan's book covers
That we both adored

And when you go away, I still see you
The sunlight on your face in my rear view
This always happens to me this way
Recurring visions of such sweet days
And when you go away, I still see you
The sunlight on your face in my rear view
When you go away, I still see you
The sunlight on your face in my rear view"
17,Apocalypse,https://www.lyrics.com/lyric/33941160/Cigarettes+After+Sex/Apocalypse,"You leapt from crumbling bridges watching cityscapes turn to dust
Filming helicopters crashing in the ocean from way above

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Kisses on the foreheads of the lovers wrapped in your arms
You've been hiding them in hollowed out pianos left in the dark

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Your lips, my lips, apocalypse
Your lips, my lips, apocalypse
Go and sneak us through the rivers flood is rising up on your knees, oh please
Come out and haunt me, I know you want me
Come out and haunt me

Sharing all your secrets with each other since you were kids
Sleeping soundly with the locket that she gave you clutched in your fist

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye
You've been locked in here forever and you just can't say goodbye

Oh, when you're all alone, I will reach for you
When you're feeling low, I will be there, too"
18,Flash,https://www.lyrics.com/lyric/33941161/Cigarettes+After+Sex/Flash,"I'm a flash, you were blinded by the love I had
I'm a flash, the light could only get in through the cracks

And you've gotta do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

When they crashed the helicopters in my heart, it ripped
Cut in half, you saw me lying there bleeding to death

And you had to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

Now I stand on the stage
I forget my lines to your play ""Satan's Imagination""
And a voice in my head's causing suicide searching for any way to remember them

And you've got to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph"
19,Sweet,https://www.lyrics.com/lyric/33941162/Cigarettes+After+Sex/Sweet,"Watching the video that you sent me
The one where you're showering with wet hair dripping
You know that I'm obsessed with your body
But it's the way you smile that does it for me

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

Watching the video where you're lying
In your red lingerie ten times nightly
You know I think your skin's the perfect color
But it's always your eyes that pull me under

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet"
