,title,links,song_lyric
10,Under the Sun,https://www.lyrics.com/lyric/32524599/DIIV/Under+the+Sun,"Yes, I'll come back to you
No, I won't ask where you run
Under the sun

Yes, I'll catch up to you
Then I'll ask, ""what have we done?""
Under the sun

To be free, be awake
Big breath that you can't fake
Once you've begun

Press my face to the back
All the pillars that stack
And hold up the sun

On the right side coming on the right time
On the right time coming on the right side"
11,Bent (Roi's Song),https://www.lyrics.com/lyric/32524598/DIIV/Bent+%28Roi%27s+Song%29,"I saw you with a very loose grip on your tight ship
And I left you with a very big mess then I watched it progress
Took a little time for your trip but I saw you starting to slip
And you always kept your eyes on any little hiding spot that you had forgot
And I saw you after a decent spell in a private hell
And I told you, ""I hope I live a thousand lives, hope I live them well""
Fought my mind to keep my life, but my body's putting up a tougher fight
Yeah if it feels wrong, you can go on along
But once it feels right then you just lost the fight

I saw you with a very loose grip on your tight ship
And I lost you when you said one hit couldn't hurt a bit
Took a little time for your trip but I saw you starting to slip
'Cause you always kept your eyes on any little hiding spot that you had forgot
I can't shake the terror of my life fleeting, minute by minute
Even when I can't imagine another day waking up in it
Fought my mind to keep my life, but my body's putting up a tougher fight
Yeah if it feels wrong, you can go on along
But once it feels right then you just lost the fight"
12,Dopamine,https://www.lyrics.com/lyric/32524597/DIIV/Dopamine,"Shots ringing out, I'm soaking
Eardrums shaking, years start weighing me down
Crawling out from a spiral down
Fixing now to mix the white and brown
Passing out, running in place
You're the sun and I'm your cloud
Burning down, running in place
Got so high I finally felt like myself

Shots wringing out, I'm soaking
Eardrums shaking, years start weighing me down
Buried deep in a heroine sleep
Floating deeper underground
Passing out, running in place
You're the sun and I am your cloud
Burning down, running in place
Got so high I finally felt like myself

Would you give your 81st year
For a glimpse of heaven, now and here?
Would you give your 60th year
For a glimpse of heaven, now and here?
Would you give your 45th year
For a glimpse of heaven, now and here?
Would you give your 34th year
For a glimpse of heaven, now and here?

Shots ringing out, I'm soaking
Eardrums shaking, years started weighing me down
Crawling out from a spiral down
Fixing now to mix the white and brown
Passing out, running in place
You're the sun and I am your cloud
Burning down, running in place
Got so high I finally felt like myself

Shots wringing out, I'm soaking
Eardrums shaking, years start weighing me down
Buried deep in a heroine sleep
Floating deeper underground
Passing out, running in place
You're the sun and I am your cloud
Burning out, running in place
Got so high I finally felt like myself"
13,Blue Boredom (Sky's Song),https://www.lyrics.com/lyric/32524596/DIIV/Blue+Boredom+%28Sky%27s+Song%29,"There's a crack
Reflective grass
Stone face
Mute glance
High black
In the back of
A normal joke
Easier to choke
Smile glue
Bad stick/bad fit
With you
A blanket curse
A made up bed that waits
In heaven
You have my face
My neck my waist
And a fucking saint
In a rocking chair
That stays in place
Thief for a chance
Kiss for a catch
Blue flower
Blue boredom
Did you know I colored in the clues
For you for you
They make a game
That spells your name
Fresh fear at the centerfold
Colored mess to backwards steps
Always taste
Like another face
Always smell
Like a kind of hell
Waterproof person to be
To be
Blood like soap
When water washes it thin
Washes it away to stay"
14,Valentine,https://www.lyrics.com/lyric/32524595/DIIV/Valentine,"The right side of me
Is the right side of me
Burn it down and give it up
You never wanna give it up

Medicine for free
If you'd only asked for me
I'd be a better animal
In every other little way

Stuck inside of me
In tragedy I'm complete
Mother father daughter son
My Valentine my only one

Keep me in distant sight
Of when it's day and when it's night
And how many weeks have passed
And if I'm still who I was last"
15,Yr Not Far,https://www.lyrics.com/lyric/32524594/DIIV/Yr+Not+Far,"On your own
You're not far"
16,Take Your Time,https://www.lyrics.com/lyric/32524593/DIIV/Take+Your+Time,"Take your time, hear 'em out
How they went to go about to give it up and find yourself in time
Take your time, it's all about
The circle up to circle out what's in your mind, then take your time

Take your time, come about
Draw your flag and hand it out, then take a look and then hide it deep inside
Take your time, hear em out
It works if you work it out, to clean out your mind, and take your time"
17,Is the is Are,https://www.lyrics.com/lyric/32524592/DIIV/Is+the+is+Are,"You ain't the first to realize
You ain't the first to look in my eyes

Over my head and positive
I have a gift that I'll never give

You ain't the first
You ain't the first

Last time I walked down this street
I walked down this street
I wanted to die

Die

Now I'm fighting
I feel like I'm fighting
I feel like I'm
Fighting for my life

Life"
18,Mire (Grant's Song),https://www.lyrics.com/lyric/32524591/DIIV/Mire+%28Grant%27s+Song%29,"I was blind, but now I see
You made a believer out of me

I was blind, but now I see
You made a river out of me

I was blind, but now I see
You made a believer out of me

I was high, but now I feel low
My own private I dunno"
19,Incarnate Devil,https://www.lyrics.com/lyric/32524590/DIIV/Incarnate+Devil,"It's today and it's in a word
I breathe and seethe
Fade to zero
I'm misinformed
I'm barely born
Gone to the void
With the incarnate devil and a talking snake

""Here in this spring storm, stars float along the void""

Here he comes
Today
It's written on my face
A clue
A tunnel you can look right through
It'll take
Some time in line
With the incarnate devil
And a talking snake"
20,Healthy Moon,https://www.lyrics.com/lyric/32524588/DIIV/Healthy+Moon,"How could I describe
This fading dream?
You turned and looked a way
It goes around getting louder now
Believe it
Freezes love that way

Name the song and I'll
Just scream it
There's a
Dead moon in my head
It claws the ground both lost and found
And fleeting
To crash into again

How could I describe
A long lost dream?
You turned and looked a way
I've lived ten lives and had ten loves
To remind me
What I've been guilty of

Say the song and I'll
Just scream
It there's a
Fucked moon in my head
It claws the ground both lost and found
And fleeing
From the healthy moon"
21,Loose Ends,https://www.lyrics.com/lyric/32524587/DIIV/Loose+Ends,"All our loose ends
Are gathered here inside this house
You left me here to sort them out

But its not all yours really
I kept a few to hold onto
I tied them to my wrists and you said:

""Does it feel watered down?""
""Does it feel over now?""

""Do you feel watered down?""
""Do you feel older now?""

You hated when I said
I needed anything, I didn't
So I walked into your room
And took it all"
22,Dust,https://www.lyrics.com/lyric/32524585/DIIV/Dust,"The only way to be quiet is to be quick
A slow death rite like an innocent fight
Left me choked and white in a patch of light
Feeling like a wick wax drowned and bright
Burned skin like a string black ashes slight
I know I gotta kick but I can't get sick
I'll hold you here tight, keep you overnight
And it gets too bright, and your body's a brick
Keep outta sight while my watch just ticks
I'm trying to keep quiet but I can't move quick
Drowning in air, light, floating up in flight
Then it gets too bright, and your body's a brick
You fall

I forced myself to be quiet just to be quick
Lead a slow death rite like an innocent fight
Left me choked and white in a patch of light
Feeling like a wick wax drowned and bright
Burned skin like a string black ashes slight
I know I gotta kick but I can't get sick
I'll hold you here tight, keep you overnight
And it gets too bright, and your body's a brick
But now I'm fucked to die in a world of shit
I'm trying to keep quiet but I can't move quick
Wings matted with death spilled oil slick
Then it gets too bright, and your body's a brick
And you fall"
23,Waste of Breath,https://www.lyrics.com/lyric/32524584/DIIV/Waste+of+Breath,"It's no good
It would be a waste of breath to tell a man who believes in me
That he's got something better to do

It's no good
It would be a waste of breath to tell a man
That he's got something better to do

It's no good
It would be a waste of breath to tell the man in me
That he's got something better to do

It's no good
It would be a waste of breath to tell a man
That he's got something better to do"
24,Out of Mind,https://www.lyrics.com/lyric/32517620/DIIV/Out+of+Mind,"Yeah out of sight
And out of mind
But everything I should do
Just comes so easily to you

You had me first
Our shadow thirst
When roles reverse
My mind rewinds and I see you

I'm out of signs
At the end of the line
But I'll be fine
When it's time I'll know what to do

The world was mine
But I'm too blind
I'll stay behind
And choose which scrap to start anew

I'm out of sight
Out of mind
I'm out of sight
Out of mind"
25,Under the Sun,https://www.lyrics.com/lyric/32517621/DIIV/Under+the+Sun,"Yes, I'll come back to you
No, I won't ask where you run
Under the sun

Yes, I'll catch up to you
Then I'll ask, ""what have we done?""
Under the sun

To be free, be awake
Big breath that you can't fake
Once you've begun

Press my face to the back
All the pillars that stack
And hold up the sun

On the right side coming on the right time
On the right time coming on the right side"
26,Bent (Roi’s Song),https://www.lyrics.com/lyric/32517622/DIIV/Bent+%28Roi%E2%80%99s+Song%29,"I saw you with a very loose grip on your tight ship
And I left you with a very big mess then I watched it progress
Took a little time for your trip but I saw you starting to slip
And you always kept your eyes on any little hiding spot that you had forgot
And I saw you after a decent spell in a private hell
And I told you, ""I hope I live a thousand lives, hope I live them well""
Fought my mind to keep my life, but my body's putting up a tougher fight
Yeah if it feels wrong, you can go on along
But once it feels right then you just lost the fight

I saw you with a very loose grip on your tight ship
And I lost you when you said one hit couldn't hurt a bit
Took a little time for your trip but I saw you starting to slip
'Cause you always kept your eyes on any little hiding spot that you had forgot
I can't shake the terror of my life fleeting, minute by minute
Even when I can't imagine another day waking up in it
Fought my mind to keep my life, but my body's putting up a tougher fight
Yeah if it feels wrong, you can go on along
But once it feels right then you just lost the fight"
27,Dopamine,https://www.lyrics.com/lyric/32517623/DIIV/Dopamine,"Shots ringing out, I'm soaking
Eardrums shaking, years start weighing me down
Crawling out from a spiral down
Fixing now to mix the white and brown
Passing out, running in place
You're the sun and I'm your cloud
Burning down, running in place
Got so high I finally felt like myself

Shots wringing out, I'm soaking
Eardrums shaking, years start weighing me down
Buried deep in a heroine sleep
Floating deeper underground
Passing out, running in place
You're the sun and I am your cloud
Burning down, running in place
Got so high I finally felt like myself

Would you give your 81st year
For a glimpse of heaven, now and here?
Would you give your 60th year
For a glimpse of heaven, now and here?
Would you give your 45th year
For a glimpse of heaven, now and here?
Would you give your 34th year
For a glimpse of heaven, now and here?

Shots ringing out, I'm soaking
Eardrums shaking, years started weighing me down
Crawling out from a spiral down
Fixing now to mix the white and brown
Passing out, running in place
You're the sun and I am your cloud
Burning down, running in place
Got so high I finally felt like myself

Shots wringing out, I'm soaking
Eardrums shaking, years start weighing me down
Buried deep in a heroine sleep
Floating deeper underground
Passing out, running in place
You're the sun and I am your cloud
Burning out, running in place
Got so high I finally felt like myself"
28,Blue Boredom (Sky’s Song),https://www.lyrics.com/lyric/32517624/DIIV/Blue+Boredom+%28Sky%E2%80%99s+Song%29,"There's a crack
Reflective grass
Stone face
Mute glance
High black
In the back of
A normal joke
Easier to choke
Smile glue
Bad stick/bad fit
With you
A blanket curse
A made up bed that waits
In heaven
You have my face
My neck my waist
And a fucking saint
In a rocking chair
That stays in place
Thief for a chance
Kiss for a catch
Blue flower
Blue boredom
Did you know I colored in the clues
For you for you
They make a game
That spells your name
Fresh fear at the centerfold
Colored mess to backwards steps
Always taste
Like another face
Always smell
Like a kind of hell
Waterproof person to be
To be
Blood like soap
When water washes it thin
Washes it away to stay"
29,Valentine,https://www.lyrics.com/lyric/32517625/DIIV/Valentine,"The right side of me
Is the right side of me
Burn it down and give it up
You never wanna give it up

Medicine for free
If you'd only asked for me
I'd be a better animal
In every other little way

Stuck inside of me
In tragedy I'm complete
Mother father daughter son
My Valentine my only one

Keep me in distant sight
Of when it's day and when it's night
And how many weeks have passed
And if I'm still who I was last"
30,Yr Not Far,https://www.lyrics.com/lyric/32517626/DIIV/Yr+Not+Far,"On your own
You're not far"
31,Take Your Time,https://www.lyrics.com/lyric/32517627/DIIV/Take+Your+Time,"Take your time, hear 'em out
How they went to go about to give it up and find yourself in time
Take your time, it's all about
The circle up to circle out what's in your mind, then take your time

Take your time, come about
Draw your flag and hand it out, then take a look and then hide it deep inside
Take your time, hear em out
It works if you work it out, to clean out your mind, and take your time"
32,Is the Is Are,https://www.lyrics.com/lyric/32517628/DIIV/Is+the+Is+Are,"You ain't the first to realize
You ain't the first to look in my eyes

Over my head and positive
I have a gift that I'll never give

You ain't the first
You ain't the first

Last time I walked down this street
I walked down this street
I wanted to die

Die

Now I'm fighting
I feel like I'm fighting
I feel like I'm
Fighting for my life

Life"
33,Mire (Grant’s Song),https://www.lyrics.com/lyric/32517629/DIIV/Mire+%28Grant%E2%80%99s+Song%29,"I was blind, but now I see
You made a believer out of me

I was blind, but now I see
You made a river out of me

I was blind, but now I see
You made a believer out of me

I was high, but now I feel low
My own private I dunno"
34,Incarnate Devil,https://www.lyrics.com/lyric/32517630/DIIV/Incarnate+Devil,"It's today and it's in a word
I breathe and seethe
Fade to zero
I'm misinformed
I'm barely born
Gone to the void
With the incarnate devil and a talking snake

""Here in this spring storm, stars float along the void""

Here he comes
Today
It's written on my face
A clue
A tunnel you can look right through
It'll take
Some time in line
With the incarnate devil
And a talking snake"
35,Healthy Moon,https://www.lyrics.com/lyric/32517632/DIIV/Healthy+Moon,"How could I describe
This fading dream?
You turned and looked a way
It goes around getting louder now
Believe it
Freezes love that way

Name the song and I'll
Just scream it
There's a
Dead moon in my head
It claws the ground both lost and found
And fleeting
To crash into again

How could I describe
A long lost dream?
You turned and looked a way
I've lived ten lives and had ten loves
To remind me
What I've been guilty of

Say the song and I'll
Just scream
It there's a
Fucked moon in my head
It claws the ground both lost and found
And fleeing
From the healthy moon"
36,Loose Ends,https://www.lyrics.com/lyric/32517633/DIIV/Loose+Ends,"All our loose ends
Are gathered here inside this house
You left me here to sort them out

But its not all yours really
I kept a few to hold onto
I tied them to my wrists and you said:

""Does it feel watered down?""
""Does it feel over now?""

""Do you feel watered down?""
""Do you feel older now?""

You hated when I said
I needed anything, I didn't
So I walked into your room
And took it all"
37,Dust,https://www.lyrics.com/lyric/32517635/DIIV/Dust,"The only way to be quiet is to be quick
A slow death rite like an innocent fight
Left me choked and white in a patch of light
Feeling like a wick wax drowned and bright
Burned skin like a string black ashes slight
I know I gotta kick but I can't get sick
I'll hold you here tight, keep you overnight
And it gets too bright, and your body's a brick
Keep outta sight while my watch just ticks
I'm trying to keep quiet but I can't move quick
Drowning in air, light, floating up in flight
Then it gets too bright, and your body's a brick
You fall

I forced myself to be quiet just to be quick
Lead a slow death rite like an innocent fight
Left me choked and white in a patch of light
Feeling like a wick wax drowned and bright
Burned skin like a string black ashes slight
I know I gotta kick but I can't get sick
I'll hold you here tight, keep you overnight
And it gets too bright, and your body's a brick
But now I'm fucked to die in a world of shit
I'm trying to keep quiet but I can't move quick
Wings matted with death spilled oil slick
Then it gets too bright, and your body's a brick
And you fall"
38,Waste of Breath,https://www.lyrics.com/lyric/32517636/DIIV/Waste+of+Breath,"It's no good
It would be a waste of breath to tell a man who believes in me
That he's got something better to do

It's no good
It would be a waste of breath to tell a man
That he's got something better to do

It's no good
It would be a waste of breath to tell the man in me
That he's got something better to do

It's no good
It would be a waste of breath to tell a man
That he's got something better to do"
39,Human,https://www.lyrics.com/lyric/28882660/DIIV/Human,"Sunrise waiting
I knew myself completely then nothing love though it hasn't said
Youth light fading.
I know myself as I was then birds sounding each shorter day in
Sun tries vainly
To stay lit for another day melts into darkness static state
Til young light waves in 
Drink the heat and climb and twist fawn looking for a friend to kiss."
40,Big Joke,https://www.lyrics.com/lyric/28882659/DIIV/Big+Joke,"Make me feel simple feelings
Let me feel simple feelings
Animal gestures
Animal gestures

Make me feel simple feelings
Let me feel simple feelings
Animal gestures
Animal gestures

Make me feel simple feelings
Let me feel simple feelings
Animal gestures
Animal gestures

I barely feel you breathing
Touch me
Animal gestures
Animal gestures

He's such an asshole
I want you all to say, ""Asshole"" really loud
Asshole!"
